ID PUMA,PUMA,ID Year,Year,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation
"79500US0600102","Oakland (Northwest) & Emeryville Cities PUMA, CA",2017,"2017",37861.71686746988,23181.518343217533,9,"oakland-northwest-emeryville-cities-puma-ca","Social workers","211020","social-workers"
"79500US0600103","Oakland (East) & Piedmont Cities PUMA, CA",2017,"2017",64399.92699724518,27085.602787361477,7,"oakland-east-piedmont-cities-puma-ca","Social workers","211020","social-workers"
"79500US0600104","Oakland City (South Central) PUMA, CA",2017,"2017",54623.666666666664,17062.28777931116,5,"oakland-city-south-central-puma-ca","Social workers","211020","social-workers"
"79500US0600105","San Leandro, Alameda & Oakland (Southwest) Cities PUMA, CA",2017,"2017",51049.7853223594,21200.241688586975,14,"san-leandro-alameda-oakland-southwest-cities-puma-ca","Social workers","211020","social-workers"
"79500US0600106","Castro Valley, San Lorenzo & Ashland PUMA, CA",2017,"2017",52521.45708955224,29908.218603526602,5,"castro-valley-san-lorenzo-ashland-puma-ca","Social workers","211020","social-workers"
"79500US0600300","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties PUMA, CA",2017,"2017",15604.24269005848,15423.470652157568,7,"alpine-amador-calaveras-inyo-mariposa-mono-tuolumne-counties-puma-ca","Social workers","211020","social-workers"
"79500US0600701","Chico City PUMA, CA",2017,"2017",28556.063739376772,20149.370286208108,8,"chico-city-puma-ca","Social workers","211020","social-workers"
"79500US0601302","Richmond (North), Hercules & El Cerrito Cites PUMA, CA",2017,"2017",57808.15205479452,20715.137137356036,7,"richmond-north-hercules-el-cerrito-cites-puma-ca","Social workers","211020","social-workers"
"79500US0601303","Concord (West), Martinez & Pleasant Hill Cities PUMA, CA",2017,"2017",31575.839669421486,21048.17706120038,5,"concord-west-martinez-pleasant-hill-cities-puma-ca","Social workers","211020","social-workers"
"79500US0601307","Pittsburg & Concord (North & East) Cities PUMA, CA",2017,"2017",44093.666666666664,9321.031310938177,7,"pittsburg-concord-north-east-cities-puma-ca","Social workers","211020","social-workers"
