ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation
"132081","Tax examiners & collectors, & revenue agents",2019,"2019","true","true",62694.81495280676,5096.130412577189,613,"tax-examiners-collectors-revenue-agents"
"132082","Tax preparers",2019,"2019","true","true",51453.89473025566,7000.906521931177,870,"tax-preparers"
"1320XX","Other financial specialists",2019,"2019","true","true",111525.7368636007,10540.959036909888,981,"other-financial-specialists"
"151211","Computer systems analysts",2019,"2019","true","true",90245.59618527001,2052.6512874347127,6056,"computer-systems-analysts"
"151212","Information security analysts",2019,"2019","true","true",106910.79806328301,4803.525139640679,1262,"information-security-analysts"
"151221","Computer and information research scientists",2019,"2019","true","true",110903.38114706898,12930.217935438568,332,"computer-and-information-research-scientists"
"151230","Computer support specialists",2019,"2019","true","true",63505.29160036016,1438.5186963267286,6259,"computer-support-specialists"
"151241","Computer network architects",2019,"2019","true","true",98664.03293532858,3957.358825224951,1151,"computer-network-architects"
"151244","Network and computer systems administrators",2019,"2019","true","true",78188.61676631118,2299.909256962076,2351,"network-and-computer-systems-administrators"
"15124X","Database administrators and architects",2019,"2019","true","true",87096.07699396509,3568.5139392031047,1248,"database-administrators-and-architects"
"151251","Computer programmers",2019,"2019","true","true",88317.38676765453,2550.8061673588695,3215,"computer-programmers"
"151252","Software developers",2019,"2019","true","true",120322.55077900569,1560.7974339912732,16108,"software-developers"
"151253","Software quality assurance analysts and testers",2019,"2019","true","true",77595.14353892878,3923.8798085667745,714,"software-quality-assurance-analysts-and-testers"
"151254","Web developers",2019,"2019","true","true",65990.22823802735,3712.804194492066,942,"web-developers"
"151255","Web and digital interface designers",2019,"2019","true","true",62378.25848408303,4528.986862323712,644,"web-and-digital-interface-designers"
"151299","Computer occupations, all other",2019,"2019","true","true",70808.17297145877,1654.197680298649,6423,"computer-occupations-all-other"
"152011","Actuaries",2019,"2019","true","true",146462.79836569773,16863.51555954173,340,"actuaries"
"152031","Operations research analysts",2019,"2019","true","true",87165.9551682036,3213.142598104963,1705,"operations-research-analysts"
"1520XX","Miscellaneous mathematical science occupations, including mathematicians & statisticians",2019,"2019","true","true",84007.50262826763,3348.969929690376,1834,"miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians"
"171011","Architects, except landscape and naval",2019,"2019","true","true",97861.68926149426,4134.975434422503,2024,"architects-except-landscape-and-naval"
"171012","Landscape architects",2019,"2019","true","true",72778.70178997189,8115.939819962355,301,"landscape-architects"
"171020","Surveyors, cartographers, & photogrammetrists",2019,"2019","true","true",64897.75873184953,5271.227375045689,366,"surveyors-cartographers-photogrammetrists"
"172011","Aerospace engineers",2019,"2019","true","true",116005.49989194506,3987.338097286271,1390,"aerospace-engineers"
"172041","Chemical engineers",2019,"2019","true","true",113061.9424390115,6334.401405288694,747,"chemical-engineers"
"172051","Civil engineers",2019,"2019","true","true",95643.02297817933,2413.652425288884,4318,"civil-engineers"
"172061","Computer hardware engineers",2019,"2019","true","true",113159.64516342683,8106.5707073920385,551,"computer-hardware-engineers"
"172070","Electrical & electronics engineers",2019,"2019","true","true",108249.66880339399,3464.815555565546,2680,"electrical-electronics-engineers"
"172081","Environmental engineers",2019,"2019","true","true",92569.31390223696,7541.670220662276,336,"environmental-engineers"
"1720XX","Biomedical & agricultural engineers",2019,"2019","true","true",95204.62870588235,13435.75105443762,181,"biomedical-agricultural-engineers"
"172110","Industrial engineers, including health & safety",2019,"2019","true","true",87891.79628000848,2328.0641418922396,2617,"industrial-engineers-including-health-safety"
"172121","Marine engineers & naval architects",2019,"2019","true","true",81824.61500595475,11232.398575237119,128,"marine-engineers-naval-architects"
"172131","Materials engineers",2019,"2019","true","true",88608.50326270687,4520.080571157945,539,"materials-engineers"
"172141","Mechanical engineers",2019,"2019","true","true",93437.79259093736,2168.644378546121,3364,"mechanical-engineers"
"1721XX","Petroleum, mining & geological engineers, including mining safety engineers",2019,"2019","true","true",150616.9440966622,13904.580162647864,361,"petroleum-mining-geological-engineers-including-mining-safety-engineers"
"1721YY","Miscellaneous engineers, including nuclear engineers",2019,"2019","true","true",106194.8270323912,2213.8750670509808,6175,"miscellaneous-engineers-including-nuclear-engineers"
"173011","Architectural and civil drafters",2019,"2019","true","true",52068.053081703634,3793.112441862854,551,"architectural-and-civil-drafters"
"17301X","Other drafters",2019,"2019","true","true",57869.28303854678,2816.9990077018438,972,"other-drafters"
"173023","Electrical and electronic engineering technologists and technicians",2019,"2019","true","true",64119.04988789746,2472.027656593672,1114,"electrical-and-electronic-engineering-technologists-and-technicians"
